number,title,difficulty,tags,question,code
,Contains Duplicate,Easy,Array & Hashing,"Contains Duplicate
Solved 
Given an integer array nums, return true if any value appears more than once in the array, otherwise return false.

Example 1:

Input: nums = [1, 2, 3, 3]

Output: true

Example 2:

Input: nums = [1, 2, 3, 4]

Output: false","class Solution:
    def hasDuplicate(self, nums: List[int]) -> bool:
        dic = defaultdict(int)

        for num in nums:
            dic[num] += 1
            if dic[num] > 1:
                return True
        return False"
,Valid Anagram   ,Easy,Array & Hashing,"Valid Anagram
Solved 
Given two strings s and t, return true if the two strings are anagrams of each other, otherwise return false.

An anagram is a string that contains the exact same characters as another string, but the order of the characters can be different.

Example 1:

Input: s = ""racecar"", t = ""carrace""

Output: true
Example 2:

Input: s = ""jar"", t = ""jam""

Output: false
Constraints:

s and t consist of lowercase English letters.","# class Solution:
#     def isAnagram(self, s: str, t: str) -> bool:
#         s_dic = defaultdict(int)

#         for letter in s:
#             s_dic[letter] += 1
        
#         for letter in t:
#             s_dic[letter] -= 1
#             if s_dic[letter] < 0:
#                 return False
        
#         for letter in s:
#             if s_dic[letter] != 0:
#                 return False
#         return True

class Solution:
    def isAnagram(self, s: str, t: str) -> bool:
        s_dic = defaultdict(int)
        t_dic = defaultdict(int)

        if len(s) != len(t):
            return False
        
        for i in range(len(s)):
            s_dic[s[i]] += 1
            t_dic[t[i]] += 1
        
        for letter in s:
            if s_dic[letter] != t_dic[letter]:
                return False
        return True
        "
,Two Sum,Easy,Array & Hashing,"Two Sum
Solved 
Given an array of integers nums and an integer target, return the indices i and j such that nums[i] + nums[j] == target and i != j.

You may assume that every input has exactly one pair of indices i and j that satisfy the condition.

Return the answer with the smaller index first.

Example 1:

Input: 
nums = [3,4,5,6], target = 7

Output: [0,1]
Explanation: nums[0] + nums[1] == 7, so we return [0, 1].

Example 2:

Input: nums = [4,5,6], target = 10

Output: [0,2]
Example 3:

Input: nums = [5,5], target = 10

Output: [0,1]
Constraints:

2 <= nums.length <= 1000
-10,000,000 <= nums[i] <= 10,000,000
-10,000,000 <= target <= 10,000,000","# class Solution:
#     def twoSum(self, nums: List[int], target: int) -> List[int]:

#         left = 0
#         right = len(nums) - 1

#         while left < right:
#             l = nums[left]
#             r = nums[right]
#             if l + r == target:
#                 return [left,right]
#             elif l + r < target:
#                 l += 1
#             else:
#                 r -= 1
#         return [-1,-1]

class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        dic = defaultdict(lambda: -1)

        for i in range(len(nums)):
            new_target = target - nums[i]
            if dic[new_target] != -1:
                return [dic[new_target], i]
            dic[nums[i]] = i
        return [-1,-1]"
,Longest Common Prefix,Easy,Array & Hashing,"Longest Common Prefix
You are given an array of strings strs. Return the longest common prefix of all the strings.

If there is no longest common prefix, return an empty string """".

Example 1:

Input: strs = [""bat"",""bag"",""bank"",""band""]

Output: ""ba""
Example 2:

Input: strs = [""dance"",""dag"",""danger"",""damage""]

Output: ""da""
Example 3:

Input: strs = [""neet"",""feet""]

Output: """"",
,Group Anagrams,Medium,Array & Hashing,"Group Anagrams
Solved 
Given an array of strings strs, group all anagrams together into sublists. You may return the output in any order.

An anagram is a string that contains the exact same characters as another string, but the order of the characters can be different.

Example 1:

Input: strs = [""act"",""pots"",""tops"",""cat"",""stop"",""hat""]

Output: [[""hat""],[""act"", ""cat""],[""stop"", ""pots"", ""tops""]]
Example 2:

Input: strs = [""x""]

Output: [[""x""]]
Example 3:

Input: strs = [""""]

Output: [[""""]]
Constraints:

1 <= strs.length <= 1000.
0 <= strs[i].length <= 100
strs[i] is made up of lowercase English letters.","# class Solution:
#     def groupAnagrams(self, strs: List[str]) -> List[List[str]]:

#         def is_anagram(s, t):
#             s_dic = defaultdict(int)
#             t_dic = defaultdict(int)

#             if len(s) != len(t):
#                 return False

#             for i in range(len(s)):
#                 s_dic[s[i]] += 1
#                 t_dic[t[i]] += 1
            
#             for letter in s:
#                 if s_dic[letter] != t_dic[letter]:
#                     return False

#             return True
        
#         res = [[strs[0]]]
#         for i in range(1, len(strs)):
#             for group in res:
#                 # print(f""group: {group}, strs: {strs[i]}"")
#                 if is_anagram(group[0], strs[i]):
#                     group.append(strs[i])
#                 else:
#                     res.append([strs[i]])
#                     i += 1

#         return res

class Solution:
    def groupAnagrams(self, strs: List[str]) -> List[List[str]]:
        res = defaultdict(list)
        for s in strs:
            sortedS = ''.join(sorted(s))
            res[sortedS].append(s)
        return list(res.values())

        "
,Remove Element,Easy,Array & Hashing,"Remove Element
You are given an integer array nums and an integer val. Your task is to remove all occurrences of val from nums in-place.

After removing all occurrences of val, return the number of remaining elements, say k, such that the first k elements of nums do not contain val.

Note:

The order of the elements which are not equal to val does not matter.
It is not necessary to consider elements beyond the first k positions of the array.
To be accepted, the first k elements of nums must contain only elements not equal to val.
Return k as the final result.

Example 1:

Input: nums = [1,1,2,3,4], val = 1

Output: [2,3,4]
Explanation: You should return k = 3 as we have 3 elements which are not equal to val = 1.

Example 2:

Input: nums = [0,1,2,2,3,0,4,2], val = 2

Output: [0,1,3,0,4]
Explanation: You should return k = 5 as we have 5 elements which are not equal to val = 2.

Constraints:

0 <= nums.length <= 100
0 <= nums[i] <= 50
0 <= val <= 100",
,Top K Frequent Elements,Medium,Array & Hashing,"Top K Frequent Elements
Solved 
Given an integer array nums and an integer k, return the k most frequent elements within the array.

The test cases are generated such that the answer is always unique.

You may return the output in any order.

Example 1:

Input: nums = [1,2,2,3,3,3], k = 2

Output: [2,3]
Example 2:

Input: nums = [7,7], k = 1

Output: [7]
Constraints:

1 <= nums.length <= 10^4.
-1000 <= nums[i] <= 1000
1 <= k <= number of distinct elements in nums.","class Solution:
    def topKFrequent(self, nums: List[int], k: int) -> List[int]:
        dic = defaultdict(int)
        for num in nums:
            dic[num] += 1
        res = []
        for key, value in sorted(dic.items(), key=lambda item: item[1], reverse=True):
            if len(res) == k:
                return res
            res.append(key)
        return res"
,Encode and Decode Strings,Medium,Array & Hashing,"Encode and Decode Strings
Solved 
Design an algorithm to encode a list of strings to a single string. The encoded string is then decoded back to the original list of strings.

Please implement encode and decode

Example 1:

Input: [""neet"",""code"",""love"",""you""]

Output:[""neet"",""code"",""love"",""you""]
Example 2:

Input: [""we"",""say"","":"",""yes""]

Output: [""we"",""say"","":"",""yes""]
Constraints:

0 <= strs.length < 100
0 <= strs[i].length < 200
strs[i] contains only UTF-8 characters.","class Solution:

    def encode(self, strs: List[str]) -> str:
        ans = """"
        for word in strs:
            ans += f""{len(word)}""+""#""+word
        print(f""encode: {ans}"")
        return ans
    # ""4#neet4#code4#love3#you""
    #  0123456789
    #  [2:6]

    def decode(self, s: str) -> List[str]:
        count = """"
        ans = []

        i = 0
        while i < len(s):
            print(f""s[i]: {s[i]}"")
            if s[i] == ""#"":
                print(f""count: {count}"")
                num_count = int(count)
                print(f""s[i+1: i+1+num_count]: {s[i+1: i+1+num_count]}"")
                ans.append(s[i+1: i+1+num_count])
                i = i+num_count+1
                count = """"
            else:
                count += s[i]
                i += 1

        return ans"
,Products of Array Except Self,Medium,Array & Hashing,"Products of Array Except Self
Solved 
Given an integer array nums, return an array output where output[i] is the product of all the elements of nums except nums[i].

Each product is guaranteed to fit in a 32-bit integer.

Follow-up: Could you solve it in 
O
(
n
)
O(n) time without using the division operation?

Example 1:

Input: nums = [1,2,4,6]

Output: [48,24,12,8]
Example 2:

Input: nums = [-1,0,1,2,3]

Output: [0,-6,0,0,0]
Constraints:

2 <= nums.length <= 1000
-20 <= nums[i] <= 20","class Solution:
    def productExceptSelf(self, nums: List[int]) -> List[int]:
        if len(nums) == 1:
            return nums

        fowards = [nums[0]]
        backwards = [nums[-1]]

        for i in range(1, len(nums)):
            fowards.append(fowards[i-1] * nums[i])
        j = 0 
        for i in range(len(nums)-2, -1, -1 ):
            backwards.append(backwards[j] * nums[i])
            j+=1
        backwards = backwards[::-1]

        ans = []
        for i in range(len(nums)):
            if i == 0:
                ans.append(backwards[i+1])
            elif i == len(nums) - 1:
                ans.append(fowards[i-1])
            else:
                ans.append(fowards[i-1] * backwards[i+1])
        return ans"
,Valid Sudoku,Medium,Array & Hashing,"Valid Sudoku
Solved 
You are given a 9 x 9 Sudoku board board. A Sudoku board is valid if the following rules are followed:

Each row must contain the digits 1-9 without duplicates.
Each column must contain the digits 1-9 without duplicates.
Each of the nine 3 x 3 sub-boxes of the grid must contain the digits 1-9 without duplicates.
Return true if the Sudoku board is valid, otherwise return false

Note: A board does not need to be full or be solvable to be valid.

Example 1:



Input: board = 
[[""1"",""2"",""."",""."",""3"",""."",""."",""."","".""],
 [""4"",""."",""."",""5"",""."",""."",""."",""."","".""],
 [""."",""9"",""8"",""."",""."",""."",""."",""."",""3""],
 [""5"",""."",""."",""."",""6"",""."",""."",""."",""4""],
 [""."",""."",""."",""8"",""."",""3"",""."",""."",""5""],
 [""7"",""."",""."",""."",""2"",""."",""."",""."",""6""],
 [""."",""."",""."",""."",""."",""."",""2"",""."","".""],
 [""."",""."",""."",""4"",""1"",""9"",""."",""."",""8""],
 [""."",""."",""."",""."",""8"",""."",""."",""7"",""9""]]

Output: true
Example 2:

Input: board = 
[[""1"",""2"",""."",""."",""3"",""."",""."",""."","".""],
 [""4"",""."",""."",""5"",""."",""."",""."",""."","".""],
 [""."",""9"",""1"",""."",""."",""."",""."",""."",""3""],
 [""5"",""."",""."",""."",""6"",""."",""."",""."",""4""],
 [""."",""."",""."",""8"",""."",""3"",""."",""."",""5""],
 [""7"",""."",""."",""."",""2"",""."",""."",""."",""6""],
 [""."",""."",""."",""."",""."",""."",""2"",""."","".""],
 [""."",""."",""."",""4"",""1"",""9"",""."",""."",""8""],
 [""."",""."",""."",""."",""8"",""."",""."",""7"",""9""]]

Output: false","class Solution:
    def isValidSudoku(self, board: List[List[str]]) -> bool:
        
        def is_three_by_three_valid(n, m):
            row = n//3 * 3
            col = m//3 * 3
            check = defaultdict(bool)
            for i in range(row, row + 3):
                for j in range(col, col + 3):
                    if board[i][j] == '.':
                        continue
                    if check[board[i][j]]:
                        return False
                    check[board[i][j]] =True
            return True
        
        def is_row_valid(n, m):
            #n is row so we move across using m
            check = defaultdict(bool)
            for j in range(len(board[0])):
                if board[n][j] == '.':
                    continue
                if check[board[n][j]]:
                    return False
                check[board[n][j]] = True
            return True
        
        def is_col_valid(n, m):
            #n is row so we move across using m
            check = defaultdict(bool)
            for i in range(len(board)):
                if board[i][m] == '.':
                    continue
                if check[board[i][m]]:
                    return False
                check[board[i][m]] = True
            return True
        
        check = defaultdict(bool)
        for i in range(len(board)):
            for j in range(len(board[0])):
                box_check = True
                row_check = True
                col_check = True
                n = i//3
                m = j//3
                if check[f""{n},{m}""] == False:
                    box_check = is_three_by_three_valid(i, j)
                    check[f""{n},{m}""] = True
                row_check = is_row_valid(i, j)
                col_check = is_col_valid(i, j)

                if (box_check and row_check and col_check) == False:
                    return False
        return True
"
